PHDs,Terminal,S.F. Ratio,Expend,GradRate
71,88,27.8,8694,58
58,70,20.8,6863,56
97,98,12.3,12999,69
36,48,14.3,7701,61
67,72,14.6,5177,53
65,85,24.1,3480,100
89,91,17.8,8747,81
53,93,10.4,9268,92
61,62,14.2,7578,70
64,74,10.5,7547,59
86,88,14.7,9448,80
84,88,14.2,11677,84
77,88,11.7,9456,53
94,95,6.2,13009,65
73,85,13.8,8949,77
75,81,14,8024,72
62,66,12.4,8832,70
85,91,11.9,14213,77
49,55,10.8,10642,59
42,45,17.6,4796,55
63,72,11.8,7940,64
92,92,13.6,10062,79
97,97,11.3,11291,70
37,37,8.4,5352,59
80,97,13.2,10223,96
74,81,17.6,8408,69
86,94,13.5,9982,77
77,86,16.6,6203,50
66,79,6.8,10819,90
71,93,10.3,10502,77
63,76,11.7,10622,68
77,82,10.6,8575,55
80,90,11.1,8317,51
52,58,13.1,5925,61
65,76,11.8,9034,66
99,99,10.1,33541,94
70,74,17.7,6652,52
57,64,11,6383,32
54,54,9.8,9754,48
93,95,9.2,8995,91
45,63,16.7,7307,78
77,82,13.9,6881,82
73,75,16.8,8707,80
68,75,14.1,7762,89
33,33,15.4,5524,49
63,69,12,8128,64
60,77,11.4,8149,75
82,89,12.7,11218,58
35,46,16.7,7140,67
77,79,16.5,6170,61
35,67,17.4,4333,27
91,91,11.6,11087,56
70,85,14.2,9492,54
42,50,11.1,11989,15
86,92,15.2,9566,74
71,74,17.8,8122,83
48,68,13,8111,56
53,60,18.6,6990,60
79,91,9,18359,84
45,55,11.7,5073,44
51,51,10.7,7016,78
44,50,11.3,6695,64
32,37,13.6,6525,21
77,82,12.8,8536,80
74,75,15.3,6898,88
53,71,11.9,10613,72
85,87,16.7,7215,81
57,57,19.8,6869,58
76,86,12.8,10888,83
73,85,13.4,9333,73
62,65,18.3,7905,71
77,93,13.6,8797,61
87,98,7.8,21227,71
57,63,11.4,5788,83
68,100,14.2,7788,65
77,77,12.7,10090,52
73,87,16.4,8871,76
76,79,13.1,10889,74
73,82,12.9,9563,46
59,59,14.8,6261,58
68,68,14.9,6357,68
96,100,6.8,26385,92
71,74,13.1,9209,63
44,47,12.1,4948,33
77,96,10.1,16593,83
91,93,10.5,16196,79
91,95,13.1,8568,67
73,78,14.5,9979,83
93,93,12.1,12011,75
63,71,15.1,5511,50
58,64,16.2,6578,45
62,68,13.9,8802,87
63,67,13.3,6413,65
56,64,14.9,7114,37
90,95,13.8,10059,62
78,78,11,9431,83
48,87,12.3,9157,69
76,76,10.9,11216,42
95,98,11.6,16185,66
62,62,12.2,7634,48
48,80,12.9,8028,68
58,64,11.6,8990,39
89,89,13.2,7309,31
48,57,13.4,5557,61
100,100,10.4,14820,73
71,71,16.1,7895,54
45,90,14.5,7652,66
90,90,10.4,14329,62
80,85,13.4,8354,85
91,96,8.4,28320,99
66,74,18.4,8135,96
73,75,14,9315,58
69,71,16.3,6880,80
63,73,12,8847,86
77,80,10.7,11080,74
88,97,9.2,16358,68
90,90,11.8,15886,68
81,85,10.3,11758,84
94,98,15.4,15605,70
90,96,10.8,13388,77
84,92,12.3,11299,70
87,90,9.4,12472,64
59,59,12.2,6744,81
85,89,13,9405,72
60,79,10.7,7519,79
56,78,11.3,6422,68
44,54,16.4,7957,61
81,85,13.3,11561,90
79,82,12.9,9264,81
71,73,14.8,7120,82
56,56,14.1,7444,70
70,82,14.5,6719,97
43,78,12.5,7440,48
64,64,19.3,7344,69
76,85,12,9853,70
55,60,14.8,7360,67
53,89,27.2,4322,85
84,90,17.4,8243,83
87,90,11.2,8680,76
84,94,4.6,18367,67
74,95,9.9,11165,98
68,74,18.8,5081,78
44,58,10.2,9678,75
79,88,14.5,10190,84
82,88,10,12502,83
78,78,12.1,7669,53
62,64,12.3,8534,88
87,100,13.7,8953,55
46,24,13,8946,98
68,68,11.2,9599,60
74,75,14.7,9533,61
88,92,13.9,10872,100
89,93,6.1,14779,83
14,98,16.1,6874,55
51,56,11.8,8545,52
95,100,8.2,18372,73
83,85,16.8,10368,66
85,85,12.2,10175,89
81,84,14.4,10080,64
71,71,11.2,10065,71
62,65,13.2,7356,58
71,82,14.1,8189,100
29,49,7.2,9431,47
74,81,8.9,14086,79
66,73,15.8,7411,70
73,73,14.8,7881,48
87,92,12.7,14837,81
85,97,10.3,21199,90
63,65,18.6,8219,43
74,88,13.5,12726,72
52,54,15.9,4718,71
44,77,13,5309,36
56,56,11.8,7818,52
83,89,11.3,12995,67
50,56,10.6,6860,89
73,80,12.5,9988,65
48,48,15.4,10938,49
91,91,17.7,9828,78
63,72,7.2,15622,64
86,81,14.5,7908,66
90,94,11.5,14980,85
43,77,14.5,9209,40
88,89,16.1,9619,78
82,83,16.2,7651,72
74,78,15.1,8595,88
45,45,14,8426,45
69,73,16.1,6534,67
46,63,10.9,9995,59
85,90,12.5,10307,73
89,89,19,12837,79
79,79,13,7495,97
83,86,13.9,10554,90
91,99,6.5,18953,61
73,84,11.3,14231,67
55,70,10,7233,53
56,58,15.5,5970,46
60,61,14.2,8294,98
59,65,8.9,6286,36
81,93,14.8,9158,64
54,58,13.8,7002,50
80,83,14.5,7936,43
68,76,11.6,9186,60
59,74,19,5096,39
81,91,12.1,10219,70
53,53,12.8,7603,65
91,96,10.4,18034,91
89,93,8.3,11806,96
58,78,10.4,9586,78
94,96,9.6,14703,93
98,98,9.1,16920,74
70,70,21.9,4933,52
70,74,12.2,10872,65
60,88,14.1,6864,64
94,96,11.5,15411,88
26,58,2.5,7683,57
99,99,5.3,36854,90
85,93,13.4,8731,63
81,85,14.8,8894,93
82,87,18.3,10650,75
84,91,15.9,11762,67
72,79,13.5,10891,51
85,98,16.5,8767,45
60,81,15.8,7780,77
61,76,10.7,10625,66
55,56,11.1,6735,69
66,68,14.1,10139,47
82,94,5.9,17500,59
59,63,16.6,5412,52
72,75,11.4,9718,64
96,92,13.1,13936,97
95,96,6.3,25765,93
92,96,13.2,9060,72
79,86,15,11217,63
75,89,11.7,11984,100
93,99,5.9,26037,80
93,96,15.6,10813,66
86,86,13.6,10074,62
83,83,14.1,9131,92
90,94,11.4,17007,68
80,80,13.8,8546,89
75,75,12.6,7237,62
16,59,7.5,11641,57
87,94,11.2,13706,65
89,93,10.3,18784,82
94,96,11.5,11743,47
69,75,17.4,3733,78
82,85,11.6,12082,79
39,69,10.5,7164,68
87,89,14.2,9681,95
93,98,5.8,23850,83
90,98,9.7,17089,90
89,90,13.4,10458,96
51,67,13.7,6757,30
70,81,15.7,7804,68
51,65,10.7,8050,73
43,43,22.9,5861,58
78,85,9.9,14904,72
67,78,13.2,9006,75
95,97,4.3,41766,89
42,58,11.3,5738,68
65,75,11.4,9430,63
66,91,12.4,7735,67
91,91,12.1,10162,86
81,96,9.6,15736,90
79,86,11.2,10830,65
91,98,3.9,45702,90
57,58,16.2,6563,63
53,63,15.1,4839,90
68,68,20.6,6951,48
94,98,10.6,21409,91
93,98,8.3,13935,69
10,68,15.4,17858,64
52,57,14.4,6243,84
90,94,12.1,16262,92
58,81,16.4,8080,67
84,91,12.5,10026,60
74,97,15.4,8409,59
66,70,12.5,7925,62
62,78,12.5,8596,80
68,83,10.5,7170,50
81,83,12.7,11916,85
92,96,13.2,22704,71
66,71,14.1,7494,72
80,83,10.5,13198,72
84,92,13.6,11778,52
80,80,16.9,8328,80
88,86,12.6,9603,63
78,92,13.3,8543,67
91,94,13.3,10779,68
74,80,11.2,7885,59
39,66,12.9,7438,52
94,99,9,22014,99
67,76,8.3,10291,67
69,81,13.9,7264,91
48,48,8.5,8960,50
82,95,12.8,10414,78
91,92,15.3,7875,75
92,94,15.2,10774,82
73,75,13.3,9189,83
67,75,14.4,8323,49
96,96,5.8,40386,99
75,75,18.1,4509,99
